id,safe_type
0001e59901b26ea98c7883e2b5f1372894fe77fec3084ffba60f7b65c8b0fb40,0
00034a71df88c476fbcc9681de82a738858d61e015365c7c04b77805496bc276,0
0006b4181135cf847c7fb24b5a37f7700cf64fbb33b38ec4e64d58e57ef29f1f,1
000886c392ca74ba9734db720e976e8a907480404c329e21f040807c256c7898,0
000a94b6be467c6e973dce3e56eed62652a222dc6cb70253fc67d1af2da6260b,0
0011bf47757b91882d180aecc115d59de82c2a0cd156c2ac348017d70b98a034,1
0012b6125773b0233614f9340a42cadef28534a456a4984e3e8382cde55dea9f,0
00169b15a680f50767696f49f981902f67ede1ecb4a13962992def560d39106a,1
0017b9ba930d9af579b4a391e4b1e95436bd73d4feba275f5da0687ddd799a64,1
001f5ac1597fe9072f0a3a264eaabd20f4317cda492256837759747229df608a,1
00206c0ce142a9ce815bf35a46516c9a15b0bd077fddbde01f64ccebfaa59ca6,1
0021ca974c5a42c0e0be35ff07288f1ccaf6b3b86e8321b8e1fb62a6a738e10d,0
002a992463df7a0d48ddfa0a18a588c4e9b591dd6cf83d6a1b2b6f34d3032a99,0
002b783d110ca73948168dab0ad7559b95386b6eeee05be39a3fcaf7f35231ce,0
002c3d0368d4b6d92c65821314080dd7f2340e1f7b70aade7263aca3fd196cc6,0
002fd822055408d4d24395609204c34120ebbd48f69781c6d97fdc808fa8e842,0
0034839a7fceabca4e28219e97eae10f489ea6d8c220287b9a420a2a133e0757,1
003f03343fe253dfe6b4c006514496dbb7ff5d36a02259626f05ff91d7744a0f,0
004a78005816f2948d9fccdc16438fcc0f646199d97a326426da3966ae67bd66,1
004f2d0f304dab623f4b1e912109cc66ed6fe5eaa9e56f582be476fb2315f8c6,0
0050309c9a0447e7d55ed36279a5304091432239a757cf749b61ae27937e2e0c,1
00570d3f94a4231e129b308073090420bfebf09add0281ed79bbe418ae15fc8d,0
0059a0136f651ac24853bb67c594b2e0f8344b66ac18e4bcf7792d083affd51f,0
006404eb9fff5f2f3b9cdbd43747893d116c3a8ee31c45e90a8374dc868f981f,1
00652087186928dc6ab8660eb4fb0c7a7b2b8e09e558d3c520728565e993c669,0
006cf23343f7239d49b3027474c90aea4061751ad75c74fb676cc0c4c37cb1ac,1
006d1f65ced6144a5c46cf4d7dfdf8144a589181725e1a868864a6711b1e16e7,0
007250e7a07fd523b374d1617abcb010e26571e07ffa24ed26d3478d5d8ce4aa,1
007f1ace979f94eed27b48c20324e9f9a60f3196f59c760f206a4b7b73fccb84,0
00844ee35cbd018409f363e24fd302b8f466348ec3ae412d159a0381d4345d82,1
